"Term","WordNet Category","Synset Definition","Frequency","Synset Example"
"bouncer","person","a person whose duty is to throw troublemakers out of a bar or public meeting","1","a person whose duty is to throw troublemakers out of a bar or public meeting"
"bounder","person","someone who is morally reprehensible","1"," ""you dirty dog"""
"bounty_hunter","person","someone who pursues fugitives or criminals for whom a reward is offered","1","someone who pursues fugitives or criminals for whom a reward is offered"
"Bourbon","person","a reactionary politician in the United States (usually from the South)","3","a reactionary politician in the United States (usually from the South)"
"bourgeois","person","a capitalist who engages in industrial commercial enterprise","1","a capitalist who engages in industrial commercial enterprise"
"Bowditch","person","United States mathematician and astronomer noted for his works on navigation (1773-1838)","1","United States mathematician and astronomer noted for his works on navigation (1773-1838)"
"Bowdler","person","English editor who in 1818 published an expurgated edition of the works of Shakespeare (1754-1825)","1","English editor who in 1818 published an expurgated edition of the works of Shakespeare (1754-1825)"
"bowdleriser","person","a person who edits a text by removing obscene or offensive words or passages","1"," ""Thomas Bowdler was a famous expurgator"""
"bowdlerizer","person","a person who edits a text by removing obscene or offensive words or passages","1"," ""Thomas Bowdler was a famous expurgator"""
"Bowie","person","United States pioneer and hero of the Texas revolt against Mexico","1"," he shared command of the garrison that resisted the Mexican attack on the Alamo where he died (1796-1836)"
"bowler","person","a cricketer who delivers the ball to the batsman in cricket","1","a cricketer who delivers the ball to the batsman in cricket"
"bowman","person","a person who is expert in the use of a bow and arrow","1","a person who is expert in the use of a bow and arrow"
"boxer","person","someone who fights with his fists for sport","2","someone who fights with his fists for sport"
"boy","person","a youthful male person","5"," ""the baby was a boy""; ""she made the boy brush his teeth every night""; ""most soldiers are only boys in uniform"""
"Boy_Orator_of_the_Platte","person","United States lawyer and politician who advocated free silver and prosecuted John Scopes (1925) for teaching evolution in a Tennessee high school (1860-1925)","1","United States lawyer and politician who advocated free silver and prosecuted John Scopes (1925) for teaching evolution in a Tennessee high school (1860-1925)"
"Boy_Scout","person","a boy who is a member of the Boy Scouts","2","a boy who is a member of the Boy Scouts"
"boy_wonder","person","an extremely talented young male person","1","an extremely talented young male person"
"boyfriend","person","a man who is the lover of a girl or young woman","1"," ""if I'd known he was her boyfriend I wouldn't have asked"""
"Boyle","person","United States writer (1902-1992)","1","United States writer (1902-1992)"
"bozo","person","a man who is a stupid incompetent fool","1","a man who is a stupid incompetent fool"
"bracero","person","a Mexican laborer who worked in the United States on farms and railroads in order to ease labor shortages during World War II","1","a Mexican laborer who worked in the United States on farms and railroads in order to ease labor shortages during World War II"
"brachycephalic","person","an adult with a short broad head","1","an adult with a short broad head"
"Bradbury","person","United States writer of science fiction (born 1920)","1","United States writer of science fiction (born 1920)"
"Bradford","person","United States printer (born in England) whose press produced the first American prayer book and the New York City's first newspaper (1663-1752)","1","United States printer (born in England) whose press produced the first American prayer book and the New York City's first newspaper (1663-1752)"
"Bradley","person","United States politician who was elected the first black mayor of Los Angeles (1917-1998)","1","United States politician who was elected the first black mayor of Los Angeles (1917-1998)"
"Bradstreet","person","poet in colonial America (born in England) (1612-1672)","1","poet in colonial America (born in England) (1612-1672)"
"Brady","person","United States pioneer photographer famous for his portraits","1"," was the official Union photographer for the American Civil War (1823-1896)"
"Brage","person","(Norse mythology) god of poetry and music","1"," son of Odin"
"Bragg","person","Confederate general during the American Civil War who was defeated by Grant in the battle of Chattanooga (1817-1876)","1","Confederate general during the American Civil War who was defeated by Grant in the battle of Chattanooga (1817-1876)"
"braggart","person","a very boastful and talkative person","1","a very boastful and talkative person"
"bragger","person","a very boastful and talkative person","1","a very boastful and talkative person"
"Bragi","person","(Norse mythology) god of poetry and music","1"," son of Odin"
"Brahe","person","Danish astronomer whose observations of the planets provided the basis for Kepler's laws of planetary motion (1546-1601)","1","Danish astronomer whose observations of the planets provided the basis for Kepler's laws of planetary motion (1546-1601)"
