FrameNet frame,Definition
Posing_as,An Agent behaves as if they were a particular individual or type of Simulated_entity with the intent of misleading observers of their behavior. This is generally accomplished by altering their normal ...
Position_on_a_scale,"This frame contains words that describe an Item's static position on a scale with respect to some property Variable. '' 'Dried fruits are especially high in fibre, as are pulses.' 'Despite the fact th..."
Possession,"An Owner has (or lacks) a Possession. '' 'The river's part of my manor, but of course it also belongs to the River Police.' 'It's a nuisance having to abandon my belongings, though.'"
Possibility,"A Possible_event is deemed to have all pre-conditions satisfied; in other words, it has some probability of occurrence, if some (generally implicit) further Condition pertains. The Condition, whether ..."
Posture,"An Agent supports their body in a particular Location. The LUs of the frame convey which body part is the Point_of_contact where the Agent is supported, what orientation the body is in, and some overa..."
Practice,An Agent enacts an Action that is intended to be performed again at one or more later Occasions. The goal of practicing is to ensure that the action at the later Occasion(s) comes off flawlessly. 'I p...
Praiseworthiness,"The Behavior of an Evaluee is described in terms of the reaction it deserves from somebody, such as praise, blame or admiration. 'It was honorable of you to help that person.'"
Prank,"A Joker, by means of a Prank, arranges to deceive a Victim, with the result that some harm or embarrassment comes to the Victim. 'They always play pranks on me.'"
Precariousness,"A Theme has the potential of falling from its current Location, which would likely result in damage. 'Now, balanced easily and firmly, he stood on the ledge outside in the slight, chill breeze.' 'A ba..."
Precipitation,"Water in some solid or liquid form (the Precipitation) falls from the sky at a particular Place and Time, lasting for a particular Duration. The Rate or Quantity of precipitation may also be indicated..."
Predicament,"An Experiencer is in an undesirable Situation, whose Explanation may also be expressed. 'The insurers ended up in the bind of having to pay 15 years' taxes.' 'He was in a bit of a pickle and make no m..."
Predicting,"A Speaker states or makes known a future Eventuality on the basis of some Evidence. Instead of (or in addition to) a Speaker, a Medium may also be mentioned. Likewise, a more general Topic may be stat..."
Preference,"An Experiencer has a greater desire to participate in some Event, as against another (contextually recoverable) event which exhibits a specific Contrast with the Event. Alternatively, the Experiencer ..."
Preliminaries,This frame describes means actions (Preparatory_acts) that are taken by an Agent for the purpose of preparing for a later act. Contrast this frame with a scenario involving earlier versions of some en...
Presence,"An Entity exists at a particular Location, at a particular Time, as observed by an implicit observer. A Depictive and/or Duration phrase is often found. This frame differs from Existence in that the L..."
Presentation_of_mitigation,"A Mitigating_situation is presented as occurring against the backdrop of a more preferable situation and a less preferable situation that, while expected, feared, or hoped for, did not or will not occ..."
Preserving,In this frame an Agent preserves a Patient in order to prevent it from decaying. A Medium may be used. 'Bill mummified John.' 'Tess pickled the beets in vinegar.' 'The Smiths dried the apples.'
Prevarication,"A Speaker communicates about a Topic in such a way as to mislead an Addressee, either by telling outright lies or by presenting a message in a misleading form. 'I lied to you about your Christmas pres..."
Prevent_or_allow_possession,"An Agent or Potential_hindrance keeps a Protagonist from having a State_of_affairs that they need or desire, or, despite the possibility of preventing the possession, they allow the Protagonist to hav..."
